,game_id,genre_id
947,1185280,3
948,1185280,28
949,1185280,70
950,1184450,23
951,1184450,2
952,1184470,1
953,1184470,4
954,1184470,23
955,1184500,1
956,1184500,25
957,1184500,4
958,1184500,23
959,1184500,2
960,1184550,1
961,1184550,23
962,1184550,70
963,1184570,1
964,1184570,4
965,1184570,23
966,1184700,25
967,1184700,4
968,1184720,25
969,1184720,23
970,1184770,23
971,1184770,28
972,1184770,2
973,1184770,70
974,1184780,1
975,1184780,4
976,1184780,23
977,1184820,25
978,1184820,23
979,1184820,3
980,1184820,2
981,1184820,70
982,1184840,23
983,1184840,2
984,1184880,4
985,1184890,25
986,1184890,4
987,1184890,23
988,1184890,3
989,1184890,28
990,1184900,4
991,1184900,23
992,1184900,2
993,1184040,1
994,1184040,25
995,1184040,23
996,1184050,2
997,1184070,1
998,1184070,4
999,1184070,23
1000,1184090,1
1001,1184090,4
1002,1184090,23
1003,1184090,28
1004,1184160,1
1005,1184160,25
1006,1184160,4
1007,1184160,23
1008,1184160,29
1009,1184160,3
1010,1184160,28
1011,1184160,2
1012,1184190,4
1013,1184190,23
1014,1184190,18
1015,1184230,25
1016,1184230,23
1017,1184230,3
1018,1184230,28
1019,1184260,1
1020,1184260,4
1021,1184260,23
1022,1184310,1
1023,1184310,4
1024,1184310,23
1025,1184400,23
1026,1184420,25
1027,1184420,4
1028,1184420,23
1029,1184420,3
1030,1183470,23
1031,1183470,2
1032,1183480,23
1033,1183480,28
1034,1183480,2
1035,1183500,4
1036,1183500,23
1037,1183500,2
1038,1183510,3
1039,1183580,25
1040,1183580,23
1041,1183580,3
1042,1183670,4
1043,1183670,23
1044,1183720,57
1045,1183840,25
1046,1183840,23
1047,1183840,3
1048,1183840,2
1049,1183030,25
1050,1183030,23
1051,1183080,28
1052,1183080,18
1053,1183140,1
1054,1183140,4
1055,1183140,23
1056,1183140,9
1057,1183170,25
1058,1183170,4
1059,1183170,23
1060,1183170,3
1061,1183200,1
1062,1183200,23
1063,1183210,25
1064,1183210,23
1065,1183230,25
1066,1183230,4
1067,1183230,23
1068,1183230,3
1069,1183240,53
1070,1183240,55
1071,1183240,57
1072,1183240,59
1073,1183260,25
1074,1183260,4
1075,1183280,25
1076,1183280,4
1077,1183280,23
1078,1183280,3
1079,1183300,25
1080,1183300,4
1081,1183300,23
1082,1183300,3
1083,1183410,23
1084,1183410,28
1085,1183420,1
1086,1183420,4
1087,1183420,23
1088,1182670,25
1089,1182670,4
1090,1182690,3
1091,1182720,25
1092,1182720,23
1093,1182720,2
1094,1182760,4
1095,1182760,23
1096,1182770,25
1097,1182770,4
1098,1182770,23
1099,1182830,25
1100,1182830,4
1101,1182830,23
1102,1182890,23
1103,1182890,3
1104,1182920,53
1105,1182920,57
1106,1182920,58
1107,1182970,1
1108,1182970,28
1109,1182280,4
1110,1182280,23
1111,1182280,9
1112,1182280,18
1113,1182470,23
1114,1181790,4
1115,1181790,37
1116,1181790,23
1117,1181790,18
1118,1181820,1
1119,1181820,25
1120,1181820,23
1121,1181820,3
1122,1181820,2
1123,1181820,70
1124,1181840,25
1125,1181840,23
1126,1181840,3
