,id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
335,1184880,Puzzle Girls,0,False,ATMCLOUD Games,0,4,1,5
336,1184890,Fleeting Iris,0,False,Heaven Studios,6,14,4,18
337,1184900,Unitied,0,False,Peter Hijma,7,19,0,19
338,1184040,D1896,0,False,Arkhouse Telegraph,0,6,2,8
339,1184050,Gears Tactics,18,False,Splash Damage,8,1635,393,2028
340,1184070,Overrun,0,False,Total Involve,0,0,1,1
341,1184090,Belly Dance Girl,0,False,Running Hoffman,0,4,4,8
342,1184160,RUSSIAPHOBIA,0,False,European Flameworms,6,382,146,528
343,1184190,Knockout Bowling VR,0,False,Zvky design studio,0,0,1,1
344,1184230,Cross Border VR,0,False,KR,0,1,2,3
345,1184260,Warchasm,0,False,Defective Penguin Games,0,2,0,2
346,1184310,Slippery Sausage,0,False,Wonderthing,0,2,0,2
347,1184400,Succubus Waifu,0,False,永恆艾莉絲工坊,5,16,12,28
348,1184420,天降锦鲤 ~ My Lucky Koi,0,False,V.P. TEAM,0,2,0,2
349,1183470,Imperiums: Greek Wars,0,False,Kube Games,8,76,7,83
350,1183480,Bonsai Castles,0,False,Hyakuren Soft,0,3,0,3
351,1183500,Puppy Cross,0,False,DIMANCHE CORP.,7,32,2,34
352,1183510,Little Town Hero,0,False,GAME FREAK inc.,0,3,4,7
353,1183580,Terra Alia: The Language Learning RPG,0,False,30 Parallel,7,8,2,10
354,1183670,Angry Zombies,0,False,Studio Inward,0,7,1,8
355,1183720,Holoswitch,0,False,triple A code GmbH,8,70,14,84
356,1183840,Dungeon of Rikka,0,False,Poorly Drawn Squid,7,10,1,11
357,1183030,Layers of Fear VR,16,False,Incuvo S.A.,6,61,21,82
358,1183080,MMA President,0,False,Sim World Games,5,8,5,13
359,1183140,Planet Lander,0,False,NanningsGames,0,4,0,4
360,1183170,All World Pro Wrestling,0,False,Heart's Choice,7,12,1,13
361,1183200,Portal Dogs,0,False,Brain Connected,0,2,0,2
362,1183210,Through The Unknown,0,False,Cozy Cloud Productions,0,2,0,2
363,1183230,A Pirate's Pleasure,0,False,Heart's Choice,0,5,1,6
364,1183240,Image Compressor,0,False,Software Utility,0,5,2,7
365,1183260,TrymenT ―Ima o Kaetai to Negau Anata e― AlphA,0,False,TrymenT,0,7,0,7
366,1183280,Jazz Age,0,False,Heart's Choice,0,3,2,5
367,1183300,Dawnfall,0,False,Heart's Choice,0,5,2,7
368,1183410,you are pig sitter,0,False,yukitama,0,1,0,1
369,1183420,Monochrome World,0,False,RAREST,0,1,0,1
