id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
1138580,Farmington County: The Ultimate Farming Tycoon Simulator,0,False,"Grenoble Interactive, LLC",8,70,8,78
1138630,Heroes Swipe Right,0,False,One Method Monkey LLC,0,3,1,4
1137770,Avalive,0,False,Avamoe,0,1,3,4
1137930,Second Dimension RetroPak Vol. 1,0,False,Second Dimension,0,1,0,1
1137970,Zombies Ate My Neighbors and Ghoul Patrol,0,False,DotEmu,4,21,37,58
1138060,Diablo_IslanD 暗黑破坏岛,0,False,Victor Studio,0,1,4,5
1138080,斗地主少女/ Landlord Girls,0,False,七彩绘色游戏,5,8,9,17
1138100,Touhou Ibunseki - Ayaria Dawn: ReCreation,0,False,Team L.U.R.Id Glow,7,46,3,49
1138130,Shadows and Dust,0,True,Moloch Media,0,1,0,1
1138150,Fiery catacombs,0,False,Metamorpho_SG,0,0,2,2
1137330,DREAMO - Puzzle Adventure,0,False,Hypnotic Ants,7,12,3,15
1137350,Filament,0,False,Beard Envy,8,213,21,234
1137360,DOWN MEANS UP,0,False,David Mulder,0,1,0,1
1137400,The War for the West,0,False,Hosted Games,7,34,7,41
1137460,ALTF4,0,False,Autosavegame,8,507,42,549
1137490,Invasion 2037,0,False,Little Beavers Games,5,45,26,71
1137620,Sexy President,0,False,Great Idea Games,0,2,2,4
1137660,Impossamole,0,False,Gremlin Interactive,0,3,0,3
1137670,Power Punch II,0,False,Beam Software,0,0,1,1
1137680,Blender Bros,0,False,Infogrames,0,2,0,2
1137690,Tinhead,0,False,Microprose,0,1,0,1
1137730,Naughty Girl 2,0,False,Hentai X,5,8,4,12
1136880,Baby Walking Simulator,0,False,One Button Please,7,17,0,17
1136910,Lily's Handmaid,0,False,Arcus Plume,7,12,2,14
1136930,Gekisou! Benza Race -Toilet Shooting Star-,0,False,Da-Soft,0,2,1,3
1136960,Hentai Crazy Girls,0,False,Kotovodk Studio,0,3,1,4
1137020,My Train Arrives,0,False,Kochkin Dmitry,7,37,6,43
1137040,CAT & MOUSE,0,False,Jacob G,0,3,0,3
1137050,Treater,0,False,TheBlavas,0,1,1,2
1137070,Anime Girls Jigsaw Puzzles,0,False,Boogygames Studios,0,1,1,2
1137110,Ballistic Craft,0,False,Palladium Soft,0,7,1,8
1137210,Alien Monopoly,0,False,zeroplaystone,0,1,0,1
1137220,Elite Soldier: 3D Shooter,0,False,IO Games,0,1,1,2
1137230,Derby: Extreme Racing,0,False,IO Games,0,0,1,1
1137250,Classic Hentai Logic Puzzle,0,False,IO Games,0,0,1,1
1137260,Tower Defense: Defender of the Kingdom,0,False,IO Games,0,1,3,4
1137270,Palladium: Adventure in Greece,0,False,NLB project,0,1,0,1
1136390,"Strange Passion - My Boss, My Mistress",18,False,ZangGames,0,2,7,9
1136420,Gates of Hell,0,False,Super Icon Ltd,0,1,0,1
1136440,HENTAI ARENA HOLY PUSSY,0,False,Cyber Keks,5,16,12,28
1136820,Someone Cloned The President,0,False,Julian Henley,0,2,0,2
1136830,Deep Race: Battle,0,False,Raciebug,0,1,3,4
